행정구역,총인구수,2022년01월_세대수,2022년01월_세대당 인구,2022년01월_남자 인구수,2022년01월_여자 인구수,2022년01월_남여 비율,2022년02월_총인구수,2022년02월_세대수,2022년02월_세대당 인구,2022년02월_남자 인구수,2022년02월_여자 인구수,2022년02월_남여 비율,2022년03월_총인구수,2022년03월_세대수,2022년03월_세대당 인구,2022년03월_남자 인구수,2022년03월_여자 인구수,2022년03월_남여 비율,2022년04월_총인구수,2022년04월_세대수,2022년04월_세대당 인구,2022년04월_남자 인구수,2022년04월_여자 인구수,2022년04월_남여 비율,2022년05월_총인구수,2022년05월_세대수,2022년05월_세대당 인구,2022년05월_남자 인구수,2022년05월_여자 인구수,2022년05월_남여 비율,2022년06월_총인구수,2022년06월_세대수,2022년06월_세대당 인구,2022년06월_남자 인구수,2022년06월_여자 인구수,2022년06월_남여 비율,2022년07월_총인구수,2022년07월_세대수,2022년07월_세대당 인구,2022년07월_남자 인구수,2022년07월_여자 인구수,2022년07월_남여 비율,2022년08월_총인구수,2022년08월_세대수,2022년08월_세대당 인구,2022년08월_남자 인구수,2022년08월_여자 인구수,2022년08월_남여 비율,2022년09월_총인구수,2022년09월_세대수,2022년09월_세대당 인구,2022년09월_남자 인구수,2022년09월_여자 인구수,2022년09월_남여 비율,2022년10월_총인구수,2022년10월_세대수,2022년10월_세대당 인구,2022년10월_남자 인구수,2022년10월_여자 인구수,2022년10월_남여 비율,2022년11월_총인구수,2022년11월_세대수,2022년11월_세대당 인구,2022년11월_남자 인구수,2022년11월_여자 인구수,2022년11월_남여 비율,2022년12월_총인구수,2022년12월_세대수,2022년12월_세대당 인구,2022년12월_남자 인구수,2022년12월_여자 인구수,2022년12월_남여 비율
서울,"9,505,926","4,430,541",2.15,"4,615,631","4,890,295",0.94,"9,508,451","4,442,586",2.14,"4,615,823","4,892,628",0.94,"9,506,778","4,451,444",2.14,"4,613,910","4,892,868",0.94,"9,500,480","4,455,106",2.13,"4,610,082","4,890,398",0.94,"9,496,887","4,460,604",2.13,"4,607,440","4,889,447",0.94,"9,494,807","4,464,840",2.13,"4,605,655","4,889,152",0.94,"9,493,211","4,469,392",2.12,"4,604,405","4,888,806",0.94,"9,488,454","4,472,975",2.12,"4,601,295","4,887,159",0.94,"9,450,768","4,450,525",2.12,"4,582,361","4,868,407",0.94,"9,443,722","4,450,389",2.12,"4,578,459","4,865,263",0.94,"9,436,836","4,448,660",2.12,"4,574,781","4,862,055",0.94,"9,428,372","4,446,296",2.12,"4,570,048","4,858,324",0.94
부산,"3,348,874","1,546,414",2.17,"1,638,207","1,710,667",0.96,"3,347,396","1,549,967",2.16,"1,637,111","1,710,285",0.96,"3,343,504","1,551,767",2.15,"1,634,958","1,708,546",0.96,"3,340,214","1,553,032",2.15,"1,633,170","1,707,044",0.96,"3,338,167","1,555,326",2.15,"1,631,825","1,706,342",0.96,"3,336,737","1,556,938",2.14,"1,630,944","1,705,793",0.96,"3,334,595","1,558,052",2.14,"1,629,643","1,704,952",0.96,"3,331,444","1,559,462",2.14,"1,627,821","1,703,623",0.96,"3,323,826","1,555,449",2.14,"1,623,784","1,700,042",0.96,"3,322,286","1,556,293",2.13,"1,622,749","1,699,537",0.95,"3,320,276","1,555,836",2.13,"1,621,486","1,698,790",0.95,"3,317,812","1,555,867",2.13,"1,619,915","1,697,897",0.95
대구,"2,383,858","1,064,438",2.24,"1,174,667","1,209,191",0.97,"2,381,095","1,065,477",2.23,"1,173,039","1,208,056",0.97,"2,380,494","1,068,557",2.23,"1,172,632","1,207,862",0.97,"2,378,573","1,069,411",2.22,"1,171,451","1,207,122",0.97,"2,376,676","1,070,212",2.22,"1,170,309","1,206,367",0.97,"2,375,306","1,070,705",2.22,"1,169,571","1,205,735",0.97,"2,374,120","1,071,366",2.22,"1,168,845","1,205,275",0.97,"2,371,936","1,072,018",2.21,"1,167,564","1,204,372",0.97,"2,367,735","1,070,482",2.21,"1,165,326","1,202,409",0.97,"2,366,852","1,070,874",2.21,"1,164,728","1,202,124",0.97,"2,365,619","1,070,839",2.21,"1,164,024","1,201,595",0.97,"2,363,691","1,070,873",2.21,"1,162,865","1,200,826",0.97
인천,"2,949,150","1,300,292",2.27,"1,476,663","1,472,487",1,"2,950,978","1,303,227",2.26,"1,477,432","1,473,546",1,"2,952,699","1,306,725",2.26,"1,478,272","1,474,427",1,"2,953,260","1,308,777",2.26,"1,478,514","1,474,746",1,"2,955,167","1,311,588",2.25,"1,479,428","1,475,739",1,"2,957,066","1,313,975",2.25,"1,480,432","1,476,634",1,"2,960,580","1,317,046",2.25,"1,482,177","1,478,403",1,"2,963,117","1,319,683",2.25,"1,483,370","1,479,747",1,"2,960,097","1,318,437",2.25,"1,481,896","1,478,201",1,"2,962,388","1,320,238",2.24,"1,483,026","1,479,362",1,"2,964,820","1,321,231",2.24,"1,484,103","1,480,717",1,"2,967,314","1,322,632",2.24,"1,485,175","1,482,139",1
광주,"1,441,636","646,429",2.23,"713,037","728,599",0.98,"1,440,032","647,419",2.22,"712,199","727,833",0.98,"1,438,463","648,252",2.22,"711,289","727,174",0.98,"1,436,916","648,653",2.22,"710,524","726,392",0.98,"1,436,012","649,454",2.21,"710,062","725,950",0.98,"1,435,378","650,131",2.21,"709,685","725,693",0.98,"1,434,703","650,708",2.2,"709,305","725,398",0.98,"1,434,397","652,050",2.2,"709,090","725,307",0.98,"1,432,856","652,047",2.2,"708,248","724,608",0.98,"1,432,651","652,598",2.2,"708,119","724,532",0.98,"1,432,049","652,435",2.19,"707,815","724,234",0.98,"1,431,050","652,355",2.19,"707,299","723,751",0.98
대전,"1,451,272","664,804",2.18,"724,026","727,246",1,"1,450,862","666,643",2.18,"723,812","727,050",1,"1,450,057","667,934",2.17,"723,361","726,696",1,"1,449,360","668,599",2.17,"723,063","726,297",1,"1,448,933","669,589",2.16,"722,840","726,093",1,"1,448,401","670,279",2.16,"722,517","725,884",1,"1,448,182","671,127",2.16,"722,366","725,816",1,"1,448,240","672,491",2.15,"722,486","725,754",1,"1,446,602","672,212",2.15,"721,604","724,998",1,"1,446,863","673,098",2.15,"721,745","725,118",1,"1,446,749","673,163",2.15,"721,609","725,140",1,"1,446,072","673,429",2.15,"721,245","724,827",1
울산,"1,121,100","482,917",2.32,"575,939","545,161",1.06,"1,119,446","483,490",2.32,"575,165","544,281",1.06,"1,118,010","484,122",2.31,"574,444","543,566",1.06,"1,117,204","484,641",2.31,"573,984","543,220",1.06,"1,116,482","485,349",2.3,"573,619","542,863",1.06,"1,115,609","485,652",2.3,"573,152","542,457",1.06,"1,114,753","485,759",2.29,"572,615","542,138",1.06,"1,113,458","486,060",2.29,"571,867","541,591",1.06,"1,112,191","485,838",2.29,"571,248","540,943",1.06,"1,111,707","486,070",2.29,"570,960","540,747",1.06,"1,111,371","486,101",2.29,"570,756","540,615",1.06,"1,110,663","486,143",2.28,"570,368","540,295",1.06
세종시,"374,377","154,890",2.42,"186,907","187,470",1,"376,399","155,990",2.41,"187,858","188,541",1,"377,296","156,696",2.41,"188,356","188,940",1,"378,196","157,270",2.4,"188,778","189,418",1,"379,340","157,846",2.4,"189,302","190,038",1,"380,215","158,258",2.4,"189,723","190,492",1,"380,889","158,495",2.4,"190,038","190,851",1,"381,439","158,798",2.4,"190,276","191,163",1,"381,925","159,036",2.4,"190,541","191,384",1,"382,258","159,129",2.4,"190,683","191,575",1,"382,770","159,150",2.41,"190,987","191,783",1,"383,591","159,386",2.41,"191,389","192,202",1
경기,"13,571,450","5,850,373",2.32,"6,830,317","6,741,133",1.01,"13,574,369","5,861,240",2.32,"6,831,902","6,742,467",1.01,"13,575,936","5,871,380",2.31,"6,832,830","6,743,106",1.01,"13,577,808","5,880,097",2.31,"6,833,859","6,743,949",1.01,"13,581,496","5,890,145",2.31,"6,835,968","6,745,528",1.01,"13,585,967","5,898,050",2.3,"6,838,396","6,747,571",1.01,"13,589,362","5,904,582",2.3,"6,840,138","6,749,224",1.01,"13,590,056","5,910,963",2.3,"6,840,757","6,749,299",1.01,"13,574,353","5,902,827",2.3,"6,832,856","6,741,497",1.01,"13,579,508","5,908,615",2.3,"6,835,151","6,744,357",1.01,"13,583,238","5,909,700",2.3,"6,836,309","6,746,929",1.01,"13,589,432","5,913,694",2.3,"6,839,276","6,750,156",1.01
강원,"1,538,660","747,023",2.06,"774,315","764,345",1.01,"1,539,051","748,626",2.06,"774,543","764,508",1.01,"1,539,036","750,531",2.05,"774,522","764,514",1.01,"1,539,038","751,554",2.05,"774,562","764,476",1.01,"1,539,005","752,649",2.04,"774,458","764,547",1.01,"1,539,064","753,336",2.04,"774,405","764,659",1.01,"1,539,178","754,257",2.04,"774,387","764,791",1.01,"1,538,801","755,162",2.04,"774,193","764,608",1.01,"1,537,396","754,682",2.04,"773,576","763,820",1.01,"1,537,339","755,184",2.04,"773,491","763,848",1.01,"1,536,863","755,157",2.04,"773,182","763,681",1.01,"1,536,498","755,481",2.03,"772,947","763,551",1.01
