행정구역,총인구수,2023년01월_세대수,2023년01월_세대당 인구,2023년01월_남자 인구수,2023년01월_여자 인구수,2023년01월_남여 비율,2023년02월_총인구수,2023년02월_세대수,2023년02월_세대당 인구,2023년02월_남자 인구수,2023년02월_여자 인구수,2023년02월_남여 비율,2023년03월_총인구수,2023년03월_세대수,2023년03월_세대당 인구,2023년03월_남자 인구수,2023년03월_여자 인구수,2023년03월_남여 비율,2023년04월_총인구수,2023년04월_세대수,2023년04월_세대당 인구,2023년04월_남자 인구수,2023년04월_여자 인구수,2023년04월_남여 비율,2023년05월_총인구수,2023년05월_세대수,2023년05월_세대당 인구,2023년05월_남자 인구수,2023년05월_여자 인구수,2023년05월_남여 비율,2023년06월_총인구수,2023년06월_세대수,2023년06월_세대당 인구,2023년06월_남자 인구수,2023년06월_여자 인구수,2023년06월_남여 비율,2023년07월_총인구수,2023년07월_세대수,2023년07월_세대당 인구,2023년07월_남자 인구수,2023년07월_여자 인구수,2023년07월_남여 비율,2023년08월_총인구수,2023년08월_세대수,2023년08월_세대당 인구,2023년08월_남자 인구수,2023년08월_여자 인구수,2023년08월_남여 비율,2023년09월_총인구수,2023년09월_세대수,2023년09월_세대당 인구,2023년09월_남자 인구수,2023년09월_여자 인구수,2023년09월_남여 비율,2023년10월_총인구수,2023년10월_세대수,2023년10월_세대당 인구,2023년10월_남자 인구수,2023년10월_여자 인구수,2023년10월_남여 비율,2023년11월_총인구수,2023년11월_세대수,2023년11월_세대당 인구,2023년11월_남자 인구수,2023년11월_여자 인구수,2023년11월_남여 비율,2023년12월_총인구수,2023년12월_세대수,2023년12월_세대당 인구,2023년12월_남자 인구수,2023년12월_여자 인구수,2023년12월_남여 비율
서울,"9,424,873","4,447,861",2.12,"4,567,739","4,857,134",0.94,"9,427,583","4,457,982",2.11,"4,567,957","4,859,626",0.94,"9,426,404","4,463,385",2.11,"4,566,299","4,860,105",0.94,"9,422,710","4,465,391",2.11,"4,563,512","4,859,198",0.94,"9,418,885","4,467,999",2.11,"4,560,702","4,858,183",0.94,"9,414,093","4,469,158",2.11,"4,557,609","4,856,484",0.94,"9,411,260","4,471,174",2.1,"4,555,784","4,855,476",0.94,"9,409,466","4,473,734",2.1,"4,554,020","4,855,446",0.94,"9,407,540","4,475,726",2.1,"4,552,501","4,855,039",0.94,"9,400,249","4,472,603",2.1,"4,548,150","4,852,099",0.94,"9,390,925","4,469,374",2.1,"4,543,055","4,847,870",0.94,"9,386,034","4,469,417",2.1,"4,540,031","4,846,003",0.94
부산,"3,316,107","1,556,086",2.13,"1,618,749","1,697,358",0.95,"3,315,516","1,559,593",2.13,"1,618,202","1,697,314",0.95,"3,313,539","1,561,008",2.12,"1,616,930","1,696,609",0.95,"3,311,402","1,561,666",2.12,"1,615,593","1,695,809",0.95,"3,309,261","1,562,595",2.12,"1,614,226","1,695,035",0.95,"3,306,993","1,563,362",2.12,"1,613,071","1,693,922",0.95,"3,305,052","1,564,252",2.11,"1,611,959","1,693,093",0.95,"3,302,740","1,564,900",2.11,"1,610,738","1,692,002",0.95,"3,300,836","1,565,115",2.11,"1,609,650","1,691,186",0.95,"3,298,213","1,564,546",2.11,"1,608,156","1,690,057",0.95,"3,295,496","1,564,199",2.11,"1,606,680","1,688,816",0.95,"3,293,362","1,564,588",2.1,"1,605,431","1,687,931",0.95
대구,"2,362,880","1,071,182",2.21,"1,162,217","1,200,663",0.97,"2,360,662","1,072,255",2.2,"1,160,942","1,199,720",0.97,"2,358,988","1,073,400",2.2,"1,159,876","1,199,112",0.97,"2,357,881","1,074,370",2.19,"1,159,042","1,198,839",0.97,"2,357,032","1,075,529",2.19,"1,158,397","1,198,635",0.97,"2,356,416","1,076,379",2.19,"1,157,923","1,198,493",0.97,"2,379,086","1,091,073",2.18,"1,169,503","1,209,583",0.97,"2,378,464","1,091,990",2.18,"1,169,083","1,209,381",0.97,"2,377,801","1,092,536",2.18,"1,168,679","1,209,122",0.97,"2,376,978","1,092,922",2.17,"1,168,087","1,208,891",0.97,"2,376,044","1,093,499",2.17,"1,167,480","1,208,564",0.97,"2,374,960","1,094,148",2.17,"1,166,803","1,208,157",0.97
인천,"2,969,502","1,324,140",2.24,"1,486,300","1,483,202",1,"2,971,788","1,326,947",2.24,"1,487,333","1,484,455",1,"2,974,481","1,330,898",2.23,"1,488,490","1,485,991",1,"2,976,338","1,333,148",2.23,"1,489,277","1,487,061",1,"2,978,089","1,335,225",2.23,"1,490,065","1,488,024",1,"2,978,749","1,336,603",2.23,"1,490,345","1,488,404",1,"2,981,553","1,339,361",2.23,"1,491,638","1,489,915",1,"2,985,152","1,341,807",2.22,"1,493,440","1,491,712",1,"2,987,918","1,344,029",2.22,"1,494,725","1,493,193",1,"2,990,276","1,345,719",2.22,"1,495,744","1,494,532",1,"2,993,492","1,347,984",2.22,"1,497,231","1,496,261",1,"2,997,410","1,350,912",2.22,"1,499,016","1,498,394",1
광주,"1,429,816","652,374",2.19,"706,724","723,092",0.98,"1,428,927","653,209",2.19,"706,167","722,760",0.98,"1,427,508","653,806",2.18,"705,471","722,037",0.98,"1,426,625","654,192",2.18,"704,974","721,651",0.98,"1,425,739","654,682",2.18,"704,489","721,250",0.98,"1,424,818","655,025",2.18,"703,887","720,931",0.98,"1,424,305","655,435",2.17,"703,548","720,757",0.98,"1,423,810","656,055",2.17,"703,131","720,679",0.98,"1,422,999","656,061",2.17,"702,748","720,251",0.98,"1,421,760","655,675",2.17,"702,121","719,639",0.98,"1,420,822","655,552",2.17,"701,645","719,177",0.98,"1,419,237","655,433",2.17,"700,896","718,341",0.98
대전,"1,445,806","673,759",2.15,"721,037","724,769",0.99,"1,445,875","675,760",2.14,"721,195","724,680",1,"1,445,519","677,326",2.13,"721,051","724,468",1,"1,445,214","677,706",2.13,"720,934","724,280",1,"1,445,221","678,666",2.13,"720,874","724,347",1,"1,445,126","679,151",2.13,"720,783","724,343",1,"1,444,898","679,611",2.13,"720,637","724,261",0.99,"1,444,837","680,337",2.12,"720,688","724,149",1,"1,444,595","680,653",2.12,"720,520","724,075",1,"1,443,965","680,363",2.12,"720,207","723,758",1,"1,443,106","680,226",2.12,"719,805","723,301",1,"1,442,216","680,261",2.12,"719,292","722,924",0.99
울산,"1,110,074","486,281",2.28,"570,113","539,961",1.06,"1,108,665","486,823",2.28,"569,576","539,089",1.06,"1,107,746","487,241",2.27,"569,131","538,615",1.06,"1,107,134","487,447",2.27,"568,824","538,310",1.06,"1,106,446","487,873",2.27,"568,518","537,928",1.06,"1,106,015","488,421",2.26,"568,302","537,713",1.06,"1,105,326","488,828",2.26,"567,947","537,379",1.06,"1,104,448","489,064",2.26,"567,403","537,045",1.06,"1,104,167","489,298",2.26,"567,314","536,853",1.06,"1,104,031","489,851",2.25,"567,309","536,722",1.06,"1,103,752","490,174",2.25,"567,145","536,607",1.06,"1,103,661","490,690",2.25,"567,153","536,508",1.06
세종시,"384,496","159,556",2.41,"191,769","192,727",1,"385,285","160,012",2.41,"192,110","193,175",0.99,"385,609","160,320",2.41,"192,212","193,397",0.99,"385,825","160,474",2.4,"192,316","193,509",0.99,"386,050","160,604",2.4,"192,393","193,657",0.99,"386,126","160,615",2.4,"192,435","193,691",0.99,"386,192","160,562",2.41,"192,449","193,743",0.99,"385,953","160,439",2.41,"192,271","193,682",0.99,"385,932","160,479",2.4,"192,246","193,686",0.99,"386,079","160,556",2.4,"192,299","193,780",0.99,"386,256","160,764",2.4,"192,396","193,860",0.99,"386,525","160,835",2.4,"192,524","194,001",0.99
경기,"13,596,091","5,918,630",2.3,"6,842,226","6,753,865",1.01,"13,600,800","5,927,894",2.29,"6,844,167","6,756,633",1.01,"13,603,546","5,936,411",2.29,"6,845,505","6,758,041",1.01,"13,607,919","5,942,067",2.29,"6,847,848","6,760,071",1.01,"13,612,597","5,948,920",2.29,"6,850,133","6,762,464",1.01,"13,618,969","5,956,358",2.29,"6,852,980","6,765,989",1.01,"13,623,055","5,962,224",2.28,"6,854,747","6,768,308",1.01,"13,624,964","5,965,990",2.28,"6,855,409","6,769,555",1.01,"13,626,339","5,969,573",2.28,"6,855,626","6,770,713",1.01,"13,627,840","5,971,803",2.28,"6,855,616","6,772,224",1.01,"13,628,135","5,974,055",2.28,"6,855,041","6,773,094",1.01,"13,630,821","5,978,724",2.28,"6,855,895","6,774,926",1.01
강원,"1,535,373","755,474",2.03,"772,297","763,076",1.01,"1,534,067","756,314",2.03,"771,758","762,309",1.01,"1,533,719","758,123",2.02,"771,574","762,145",1.01,"1,533,356","758,699",2.02,"771,382","761,974",1.01,"1,533,081","759,593",2.02,"771,322","761,759",1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
